Thu Dec  9 10:58:27 2021    cProfile_output

         15254792 function calls (14983050 primitive calls) in 20.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      231    0.000    0.000    0.103    0.000 __init__.py:3278(<genexpr>)
      230    0.001    0.000    0.102    0.000 __init__.py:2776(activate)
     1230    0.007    0.000    0.102    0.000 managers.py:1811(_multi_blockify)
      120    0.000    0.000    0.101    0.001 variables.py:71(__array__)
      700    0.002    0.000    0.100    0.000 artist.py:1064(set)
       20    0.000    0.000    0.100    0.005 resample.py:171(_set_binner)
       20    0.000    0.000    0.100    0.005 resample.py:180(_get_binner)
     9600    0.028    0.000    0.100    0.000 pool.py:631(__init__)
       20    0.000    0.000    0.100    0.005 resample.py:1004(_get_binner_for_time)
       20    0.001    0.000    0.100    0.005 resample.py:1415(_get_time_bins)
        2    0.000    0.000    0.099    0.049 config.py:1(<module>)
    19200    0.053    0.000    0.097    0.000 core.py:279(subs)
     1170    0.006    0.000    0.097    0.000 artist.py:942(update)
        1    0.000    0.000    0.096    0.096 frame.py:10(<module>)
      260    0.001    0.000    0.096    0.000 extension.py:136(method)
   173930    0.072    0.000    0.095    0.000 {built-in method _abc._abc_instancecheck}
     1210    0.003    0.000    0.095    0.000 api.py:107(_get_combined_index)
    44612    0.051    0.000    0.095    0.000 numeric.py:1786(isscalar)
       20    0.012    0.001    0.095    0.005 optimization.py:18(cull)
     1220    0.004    0.000    0.092    0.000 base.py:544(_shallow_copy_with_infer)
        1    0.000    0.000    0.091    0.091 figure.py:12(<module>)
       11    0.000    0.000    0.091    0.008 artist.py:1578(kwdoc)
      389    0.002    0.000    0.090    0.000 sre_parse.py:913(parse)
    13030    0.059    0.000    0.089    0.000 inspect.py:2750(__init__)
        1    0.000    0.000    0.089    0.089 figureoptions.py:6(<module>)
       16    0.000    0.000    0.089    0.006 __init__.py:2011(_by_version_descending)
     2490    0.035    0.000    0.088    0.000 managers.py:212(_rebuild_blknos_and_blklocs)
    20782    0.010    0.000    0.088    0.000 common.py:472(is_period_dtype)
      186    0.085    0.000    0.087    0.000 traitlets.py:737(__init__)
        1    0.000    0.000    0.087    0.087 widget_bool.py:7(<module>)
 1081/389    0.005    0.000    0.086    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.086    0.086 qt_compat.py:12(<module>)
     1210    0.005    0.000    0.086    0.000 api.py:149(union_indexes)
     2420    0.007    0.000    0.086    0.000 cast.py:70(maybe_convert_platform)
        1    0.000    0.000    0.085    0.085 routines.py:1(<module>)
        1    0.000    0.000    0.085    0.085 qt_compat.py:65(_setup_pyqt5)
     2830    0.016    0.000    0.084    0.000 missing.py:225(_isna_ndarraylike)
     2713    0.007    0.000    0.084    0.000 blocks.py:3021(make_block)
 1513/414    0.032    0.000    0.084    0.000 sre_parse.py:469(_parse)
     5998    0.018    0.000    0.084    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.084    0.084 application.py:1(<module>)
      144    0.000    0.000    0.082    0.001 __init__.py:1431(get_metadata_lines)
      144    0.001    0.000    0.082    0.001 __init__.py:1416(get_metadata)
       40    0.002    0.000    0.082    0.002 utils.py:1011(ensure_dict)
        1    0.000    0.000    0.080    0.080 batched.py:1(<module>)
     2340    0.078    0.000    0.079    0.000 __init__.py:2018(_setattr_cm)
    69275    0.070    0.000    0.079    0.000 core.py:1136(shape)
      242    0.002    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      146    0.032    0.000    0.079    0.001 __init__.py:1615(_get)
        1    0.000    0.000    0.078    0.078 _subplots.py:1(<module>)
    16659    0.017    0.000    0.078    0.000 dtypes.py:917(is_dtype)
      603    0.002    0.000    0.077    0.000 __init__.py:2191(_handle_ns)
      241    0.003    0.000    0.077    0.000 base.py:1588(is_monotonic_increasing)
      339    0.027    0.000    0.076    0.000 doccer.py:12(docformat)
      160    0.064    0.000    0.076    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.076    0.076 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.075    0.075 __init__.py:39(<module>)
      251    0.073    0.000    0.075    0.000 base.py:602(_engine)
      121    0.000    0.000    0.074    0.001 combine.py:76(<genexpr>)
        1    0.000    0.000    0.074    0.074 __init__.py:189(<module>)
    30227    0.028    0.000    0.074    0.000 common.py:1565(is_extension_array_dtype)
     4800    0.014    0.000    0.074    0.000 optimization.py:380(default_fused_keys_renamer)
     9760    0.007    0.000    0.073    0.000 base.py:719(<genexpr>)
     2760    0.010    0.000    0.073    0.000 netCDF4_.py:62(get_array)
      116    0.001    0.000    0.072    0.001 _distn_infrastructure.py:702(_construct_doc)
12840/9720    0.007    0.000    0.072    0.000 utils.py:521(shape)
      230    0.001    0.000    0.071    0.000 __init__.py:2290(fixup_namespace_packages)
     1687    0.071    0.000    0.071    0.000 {method 'read' of '_io.FileIO' objects}
    60/40    0.000    0.000    0.071    0.002 axis.py:658(__get__)
      220    0.008    0.000    0.071    0.000 optimization.py:50(<listcomp>)
       60    0.002    0.000    0.070    0.001 axis.py:56(__init__)
     2450    0.004    0.000    0.070    0.000 utils.py:113(<listcomp>)
        2    0.000    0.000    0.070    0.035 __init__.py:25(<module>)
     9644    0.019    0.000    0.070    0.000 threading.py:499(__init__)
       10    0.000    0.000    0.070    0.007 common.py:912(resample)
     7260    0.004    0.000    0.069    0.000 blockwise.py:190(_dict)
       11    0.001    0.000    0.069    0.006 artist.py:1349(pprint_setters)
