datetime,Dry mixing ratio of species ATO2 (mol mol-1 dry),Dry mixing ratio of species A3O2 (mol mol-1 dry),Dry mixing ratio of species IDHNBOO (mol mol-1 dry),Dry mixing ratio of species ICHOO (mol mol-1 dry),Dry mixing ratio of species IDHNDOO2 (mol mol-1 dry),Dry mixing ratio of species IDHNDOO1 (mol mol-1 dry),Dry mixing ratio of species ICNOO (mol mol-1 dry),Dry mixing ratio of species C4HVP1 (mol mol-1 dry),Dry mixing ratio of species BRO2 (mol mol-1 dry)
2016-01-04 17:30:00,5.2498983e-14,1.5219338e-13,3.533087e-18,1.9280063e-19,3.4968198e-20,4.7839474e-20,3.057726e-18,1.8818752e-19,2.2763473e-14
2016-01-04 18:30:00,2.4108462e-14,1.7018571e-13,1.3635294e-17,3.7888808e-20,1.8264038e-20,1.3995075e-20,2.6554444e-18,1.8171491e-19,1.6036578e-14
2016-01-04 19:30:00,2.5473862e-15,8.926828e-14,1.3292348e-16,1.1351065e-21,1.7682108e-21,1.8161782e-21,2.453623e-18,8.247663e-22,1.2684005e-14
2016-01-04 20:30:00,1.0652291e-15,5.796213e-14,3.4603744e-16,7.9806925e-22,4.4940396e-21,5.9254986e-21,2.6346153e-18,0.0,1.1106329e-14
2016-01-04 21:30:00,8.128932e-16,4.1953413e-14,5.3409784e-16,7.24084e-22,8.045385e-21,1.1173355e-20,3.178177e-18,0.0,1.0023141e-14
2016-01-04 22:30:00,7.369743e-16,3.253274e-14,6.368056e-16,7.338552e-22,1.139863e-20,1.6081276e-20,4.0869753e-18,0.0,9.147343e-15
2016-01-04 23:30:00,7.052383e-16,2.6746751e-14,6.459569e-16,7.6171657e-22,1.4555064e-20,2.0669512e-20,5.3980413e-18,0.0,8.394298e-15
2016-01-05 00:30:00,6.9041507e-16,2.3152777e-14,5.906667e-16,8.1437517e-22,1.7762878e-20,2.5357894e-20,7.135222e-18,0.0,7.741231e-15
2016-01-05 01:30:00,6.831064e-16,2.0832157e-14,5.061562e-16,9.50581e-22,2.1089416e-20,3.0250615e-20,9.299223e-18,0.0,7.181492e-15
2016-01-05 02:30:00,6.8000387e-16,1.924313e-14,4.1690213e-16,1.1197033e-21,2.4321087e-20,3.5134157e-20,1.1881428e-17,0.0,6.7063516e-15
2016-01-05 03:30:00,6.7974886e-16,1.8093284e-14,3.35323e-16,1.3095982e-21,2.7796254e-20,4.040142e-20,1.493385e-17,0.0,6.305184e-15
2016-01-05 04:30:00,6.800477e-16,1.7220991e-14,2.6622513e-16,1.4854592e-21,3.2036547e-20,4.6701936e-20,1.851883e-17,0.0,5.967737e-15
2016-01-05 05:30:00,6.810721e-16,1.6549896e-14,2.1007189e-16,1.6188101e-21,3.562035e-20,5.200967e-20,2.255888e-17,0.0,5.683863e-15
